name,quantity,total
401 - Composite Filling ,343,56663.05
7004 -  Implant Open Day Offer,38,41034.43
430 - Zirconium Crown,47,39308.72
2020 - All-on-4 Zirconia Bridge Single Arch ,6,35973.5
200 - Scale & Polish,324,24246.0
801 - Placement Of Implant,21,23419.41
2014 - Zirconia Implant Crown  ,26,22874.28
7006 - Zirconia Implant Crown Open day Offer,24,22146.0
black2 - *Offer black Friday implant placement,20,21680.12
2016 - All-on-4 Surgery Single Arch ,3,18606.07
2555 - GM Smile Package,5,17258.95
2009 - Extraction (simple),114,14964.4
2019 - All-on-4 PMMA Bridge Single Arch ,3,14088.0
5002 - **Offer** all on 4 single arch with fixed ZIRCONIA bridge with 10 teeth,3,12930.0
2034 - Invisalign Comprehensive ,3,12316.69
812 - Bone Graft,25,12162.4
Black All Zirc - *OFFER All on 4 Surgery Zirconia Final Bridge,2,11020.0
Black PMMA  - *OFFER All on 4 Surgery PMMA Final Bridge ,2,10980.0
2018 - All-on-4 Acrylic Bridge Single Arch ,2,10667.5
3000 - **Offer** all on 4 single arch PMMA bridge with 10 teeth,3,10449.0
5010 - **Offer** Zirconia implant crown,11,9450.0
1114 - Home Whitening,33,8714.0
2051 - Surgical Guide,26,8235.0
2559 - Fast Smile 6 Teeth,3,7261.73
2011 - Posterior Extraction,37,7259.0
1 - Emergency,136,7210.5
100 - Exam,160,7040.0
102 - New Patient Exam,136,6394.5
Black  - fixed teeth on the day ,3,5970.0
7001 - PMMA All-On-4 Open Day Offer,1,5901.12
809 - Implant - Bridge,7,5660.4
5011 - **Offer** Porcelain Implant Crown,7,5550.0
2558 - Fast Smile 4 Teeth,3,5502.72
2050 - All on 4 Fixed teeth on day of surgery,1,5500.0
5009 - **Offer** Implant placement,6,5391.3
2024 - Sinus Lift ,7,5250.0
2017 - All-on-6 Surgery Single Arch ,1,4990.0
920 - Bridge,1,3980.0
601 - Surgical/Wisdom Tooth Extraction,11,3700.4
101 - Exam & Scale & Polish ,37,3625.0
501 - RCT - Premolar Tooth ,9,3544.05
3001 - CBCT Single Arch ,28,3506.0
7007 - **Offer** Invisalign full with Vivera retainers,1,3500.0
2054 - Zirconia Implant Bridge (per unit),4,3400.0
2010 - Surgical Extraction ,14,3365.0
Advanced perio  - Advanced perio ,15,3335.0
12001 - Composite restoration large,10,3199.0
3002 - CBCT Dual Arch ,16,3184.0
5014 - Composite Bonding per tooth,12,3121.0
500 - RCT - Molar,6,3070.0
711 - Partial Chrome Denture,2,3050.0
2008 - RCT - Incisor/Canines,8,2768.0
5100 - Enlighten Whitening,4,2748.0
201 - Periodontal Scaling And Root Planing,11,2655.0
704 - Full Upper Acrylic Denture,2,2640.0
403 - Glass Ionomer,30,2539.8
210 - Bone Grafting,5,2514.0
Black 23  - *Offer Black Friday Zirconia Implant Crown ,3,2500.0
6548 - Fibre Reinforced Composite Large,7,2443.0
9999a - Flexidenture ,2,2350.0
